Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Performance_Score_Ordinal,Tenure_Years,Join_Year,Join_Month,Join_Quarter
EMP1011,David,Davis,,DevOps-California,Active,2023-09-04,84946.19,david.davis@example.com,-1238296576,Poor,True,DevOps,California,1,1.319644079397673,2023,9,3
EMP1012,Heidi,Williams,30.0,HR-New York,Active,2024-03-05,89295.77,heidi.williams@example.com,-2429543164,Excellent,False,HR,New York,4,0.8186173853524983,2024,3,1
EMP1013,Grace,Williams,,Finance-California,Active,2020-10-10,85666.84,grace.williams@example.com,-2669300892,Good,False,Finance,California,3,4.219028062970568,2020,10,4
EMP1014,Alice,Garcia,25.0,Admin-Nevada,Active,2024-06-10,97633.68,alice.garcia@example.com,-1734206968,Excellent,True,Admin,Nevada,4,0.5530458590006845,2024,6,2
EMP1015,Grace,Jones,40.0,Sales-Florida,Pending,2021-05-29,117975.49,grace.jones@example.com,-4215291085,Good,True,Sales,Florida,3,3.586584531143053,2021,5,2
EMP1016,Alice,Brown,25.0,DevOps-Illinois,Inactive,2024-04-23,94867.33,alice.brown@example.com,-7713334475,Poor,False,DevOps,Illinois,1,0.6844626967830253,2024,4,2
EMP1017,Grace,Garcia,30.0,Finance-Texas,Pending,2024-11-28,100377.65,grace.garcia@example.com,-2639343625,Average,True,Finance,Texas,2,0.08487337440109514,2024,11,4
EMP1018,Charlie,Garcia,,Cloud Tech-Nevada,Inactive,2024-09-19,94726.46,charlie.garcia@example.com,-2044397358,Excellent,False,Cloud Tech,Nevada,4,0.27652292950034224,2024,9,3
EMP1019,Charlie,Williams,35.0,Admin-Illinois,Pending,2020-01-02,91926.12,charlie.williams@example.com,-7107256365,Average,True,Admin,Illinois,2,4.991101984941821,2020,1,1
EMP1020,Bob,Miller,35.0,HR-New York,Active,2021-05-08,111460.67,bob.miller@example.com,-9411800536,Excellent,True,HR,New York,4,3.6440793976728267,2021,5,2
EMP1021,Bob,Jones,40.0,Cloud Tech-Illinois,Active,2020-09-19,96182.56,bob.jones@example.com,-5990048963,Good,False,Cloud Tech,Illinois,3,4.276522929500342,2020,9,3
EMP1022,Charlie,Johnson,35.0,Sales-Illinois,Inactive,2021-03-09,115023.94,charlie.johnson@example.com,-6528092427,Average,True,Sales,Illinois,2,3.808350444900753,2021,3,1
EMP1023,David,Garcia,35.0,Finance-Nevada,Pending,2022-02-03,80667.01,david.garcia@example.com,-7572158623,Excellent,False,Finance,Nevada,4,2.9021218343600275,2022,2,1
EMP1024,Bob,Brown,30.0,Admin-Texas,Inactive,2020-02-13,91181.61,bob.brown@example.com,-1502745643,Good,True,Admin,Texas,3,4.876112251882272,2020,2,1
EMP1025,David,Miller,25.0,Cloud Tech-Nevada,Pending,2020-04-30,66025.92,david.miller@example.com,-9485625727,Average,False,Cloud Tech,Nevada,2,4.6652977412731005,2020,4,2
EMP1026,Frank,Miller,25.0,Sales-New York,Inactive,2023-10-02,83979.01,frank.miller@example.com,-7032032073,Average,False,Sales,New York,2,1.242984257357974,2023,10,4
EMP1027,Heidi,Johnson,30.0,Finance-Florida,Active,2020-07-12,56785.16,heidi.johnson@example.com,-2761707586,Excellent,True,Finance,Florida,4,4.465434633812457,2020,7,3
EMP1028,Grace,Garcia,40.0,Finance-Nevada,Active,2023-10-11,95741.88,grace.garcia@example.com,-7712151341,Excellent,False,Finance,Nevada,4,1.218343600273785,2023,10,4
EMP1029,Alice,Brown,40.0,DevOps-California,Active,2021-05-24,63411.31,alice.brown@example.com,-2849939088,Excellent,True,DevOps,California,4,3.600273785078713,2021,5,2
EMP1030,Charlie,Jones,40.0,Admin-California,Inactive,2021-05-26,111214.02,charlie.jones@example.com,-2613715040,Good,True,Admin,California,3,3.594798083504449,2021,5,2
EMP1031,Bob,Smith,25.0,DevOps-Illinois,Active,2020-07-10,114845.69,bob.smith@example.com,-6591520176,Excellent,True,DevOps,Illinois,4,4.470910335386721,2020,7,3
EMP1032,Charlie,Brown,40.0,Finance-Florida,Active,2024-11-05,78072.82,charlie.brown@example.com,-7490509758,Average,False,Finance,Florida,2,0.14784394250513347,2024,11,4
EMP1033,Grace,Johnson,25.0,Finance-California,Inactive,2021-08-07,79610.52,grace.johnson@example.com,-2304501895,Average,False,Finance,California,2,3.3949349760438055,2021,8,3
EMP1034,Heidi,Miller,30.0,Admin-California,Active,2020-04-29,90542.62,heidi.miller@example.com,-1642361031,Excellent,True,Admin,California,4,4.6680355920602326,2020,4,2
EMP1035,Frank,Jones,25.0,Cloud Tech-Illinois,Inactive,2022-10-26,114357.1,frank.jones@example.com,-6642147648,Excellent,True,Cloud Tech,Illinois,4,2.1765913757700206,2022,10,4
EMP1036,Alice,Brown,,Cloud Tech-New York,Active,2023-05-03,54757.26,alice.brown@example.com,-2515837766,Poor,False,Cloud Tech,New York,1,1.6591375770020533,2023,5,2
EMP1037,Grace,Smith,25.0,Sales-New York,Pending,2023-05-02,52781.92,grace.smith@example.com,-4996165925,Average,True,Sales,New York,2,1.6618754277891854,2023,5,2
EMP1038,Frank,Smith,35.0,Admin-Nevada,Pending,2021-10-05,66708.02,frank.smith@example.com,-6108573277,Good,True,Admin,Nevada,3,3.2334017796030117,2021,10,4
EMP1039,Eva,Williams,40.0,HR-Texas,Active,2022-07-27,93481.15,eva.williams@example.com,-8147617421,Poor,False,HR,Texas,1,2.425735797399042,2022,7,3
EMP1040,Bob,Williams,25.0,Sales-New York,Pending,2021-06-27,59271.96,bob.williams@example.com,-4386490809,Excellent,True,Sales,New York,4,3.5071868583162216,2021,6,2
EMP1041,Bob,Davis,30.0,HR-California,Active,2022-06-16,108362.15,bob.davis@example.com,-8186617944,Excellent,False,HR,California,4,2.537987679671458,2022,6,2
EMP1042,Alice,Johnson,,HR-Nevada,Active,2024-12-03,59400.38,alice.johnson@example.com,-4918017225,Average,True,HR,Nevada,2,0.07118412046543464,2024,12,4
EMP1043,Bob,Garcia,,Admin-California,Inactive,2023-05-23,64744.08,bob.garcia@example.com,-164597793,Excellent,False,Admin,California,4,1.6043805612594113,2023,5,2
EMP1044,Eva,Brown,,Finance-California,Active,2020-07-08,94399.91,eva.brown@example.com,-5232194167,Good,True,Finance,California,3,4.476386036960986,2020,7,3
EMP1045,Alice,Brown,25.0,HR-New York,Pending,2021-06-20,61310.74,alice.brown@example.com,-61027768,Average,True,HR,New York,2,3.5263518138261465,2021,6,2
EMP1046,Grace,Garcia,,Cloud Tech-Texas,Active,2024-12-13,98371.37,grace.garcia@example.com,-7499564121,Excellent,False,Cloud Tech,Texas,4,0.04380561259411362,2024,12,4
EMP1047,Alice,Davis,35.0,Sales-Illinois,Active,2022-05-30,58921.19,alice.davis@example.com,-310303722,Average,True,Sales,Illinois,2,2.5845311430527036,2022,5,2
EMP1048,Alice,Miller,35.0,Admin-Nevada,Active,2023-09-27,57195.55,alice.miller@example.com,-6831472759,Excellent,False,Admin,Nevada,4,1.2566735112936345,2023,9,3
EMP1049,Grace,Miller,,DevOps-New York,Active,2024-11-05,61375.12,grace.miller@example.com,-1227770792,Excellent,True,DevOps,New York,4,0.14784394250513347,2024,11,4
EMP1050,Charlie,Davis,40.0,Cloud Tech-New York,Pending,2021-11-11,104767.05,charlie.davis@example.com,-3496050165,Excellent,False,Cloud Tech,New York,4,3.132101300479124,2021,11,4
EMP1051,David,Miller,35.0,Admin-Nevada,Active,2022-02-22,111051.67,david.miller@example.com,-7998407677,Good,False,Admin,Nevada,3,2.8501026694045173,2022,2,1
EMP1052,David,Williams,30.0,Finance-California,Inactive,2024-08-07,105674.18,david.williams@example.com,-9973080694,Good,False,Finance,California,3,0.3942505133470226,2024,8,3
EMP1053,Alice,Brown,30.0,Finance-California,Inactive,2024-11-05,54859.45,alice.brown@example.com,-8146717956,Average,False,Finance,California,2,0.14784394250513347,2024,11,4
EMP1054,Frank,Davis,,Finance-Nevada,Pending,2021-11-09,115746.6,frank.davis@example.com,-6024375737,Excellent,True,Finance,Nevada,4,3.137577002053388,2021,11,4
EMP1055,Eva,Brown,30.0,Sales-California,Active,2020-08-10,91759.99,eva.brown@example.com,-3959724664,Excellent,True,Sales,California,4,4.386036960985626,2020,8,3
EMP1056,Frank,Garcia,40.0,Sales-Illinois,Active,2022-02-27,112965.33,frank.garcia@example.com,-7293417222,Good,False,Sales,Illinois,3,2.836413415468857,2022,2,1
EMP1057,Alice,Smith,40.0,Cloud Tech-Illinois,Pending,2023-11-07,100360.1,alice.smith@example.com,-2971674337,Excellent,False,Cloud Tech,Illinois,4,1.1444216290212184,2023,11,4
EMP1058,David,Williams,35.0,Finance-Texas,Pending,2021-11-07,93620.88,david.williams@example.com,-54522800,Good,False,Finance,Texas,3,3.143052703627652,2021,11,4
EMP1059,Bob,Jones,35.0,Sales-California,Pending,2022-04-16,72832.8,bob.jones@example.com,-5619318373,Excellent,True,Sales,California,4,2.704996577686516,2022,4,2
EMP1060,Charlie,Williams,30.0,Finance-Nevada,Inactive,2023-10-19,102369.42,charlie.williams@example.com,-5508428909,Average,True,Finance,Nevada,2,1.1964407939767283,2023,10,4
EMP1061,Eva,Davis,40.0,Sales-Texas,Inactive,2021-08-10,64712.79,eva.davis@example.com,-7711991807,Excellent,True,Sales,Texas,4,3.3867214236824092,2021,8,3
EMP1062,Frank,Jones,40.0,Finance-Florida,Pending,2021-03-13,85782.18,frank.jones@example.com,-1213524786,Excellent,True,Finance,Florida,4,3.7973990417522243,2021,3,1
EMP1063,Charlie,Smith,25.0,HR-Illinois,Pending,2023-07-20,93348.26,charlie.smith@example.com,-1255213759,Poor,False,HR,Illinois,1,1.4455852156057496,2023,7,3
EMP1064,David,Davis,35.0,Admin-New York,Active,2020-02-20,53234.96,david.davis@example.com,-3754821455,Good,False,Admin,New York,3,4.856947296372348,2020,2,1
EMP1065,Bob,Johnson,40.0,Finance-Nevada,Pending,2021-02-02,100284.21,bob.johnson@example.com,-5328632665,Excellent,False,Finance,Nevada,4,3.9041752224503763,2021,2,1
EMP1066,Grace,Brown,30.0,Admin-Nevada,Pending,2020-01-12,112486.19,grace.brown@example.com,-7850720810,Excellent,True,Admin,Nevada,4,4.963723477070499,2020,1,1
EMP1067,Bob,Smith,40.0,Admin-New York,Pending,2022-11-26,82518.49,bob.smith@example.com,-5562606028,Poor,True,Admin,New York,1,2.0917180013689256,2022,11,4
EMP1068,Bob,Brown,40.0,Admin-Florida,Pending,2022-12-23,119152.47,bob.brown@example.com,-846684549,Poor,True,Admin,Florida,1,2.0177960301163584,2022,12,4
EMP1069,Heidi,Miller,,DevOps-Illinois,Inactive,2024-08-28,113479.83,heidi.miller@example.com,-4892673898,Good,False,DevOps,Illinois,3,0.33675564681724846,2024,8,3
EMP1070,Charlie,Johnson,40.0,Finance-California,Active,2024-09-16,94636.3,charlie.johnson@example.com,-7563410855,Poor,False,Finance,California,1,0.28473648186173856,2024,9,3
EMP1071,Heidi,Johnson,30.0,HR-Florida,Active,2024-01-01,70000.97,heidi.johnson@example.com,-2884318847,Average,True,HR,Florida,2,0.9938398357289527,2024,1,1
EMP1072,Frank,Smith,,Cloud Tech-New York,Active,2021-04-18,76812.47,frank.smith@example.com,-5200894345,Poor,False,Cloud Tech,New York,1,3.698836413415469,2021,4,2
EMP1073,David,Johnson,25.0,Finance-Florida,Inactive,2023-01-16,82614.7,david.johnson@example.com,-8105485100,Average,True,Finance,Florida,2,1.9520876112251881,2023,1,1
EMP1074,Grace,Jones,40.0,Sales-Nevada,Active,2024-10-20,111645.97,grace.jones@example.com,-7490753997,Good,True,Sales,Nevada,3,0.19164955509924708,2024,10,4
EMP1075,Heidi,Johnson,25.0,HR-California,Inactive,2024-10-13,112414.91,heidi.johnson@example.com,-9354492682,Good,False,HR,California,3,0.2108145106091718,2024,10,4
EMP1076,David,Brown,40.0,Admin-California,Inactive,2022-09-21,52031.74,david.brown@example.com,-1589357125,Good,True,Admin,California,3,2.272416153319644,2022,9,3
EMP1077,Grace,Brown,30.0,Finance-New York,Pending,2022-12-29,51887.65,grace.brown@example.com,-6110627370,Good,False,Finance,New York,3,2.001368925393566,2022,12,4
EMP1078,Alice,Davis,25.0,DevOps-Florida,Active,2024-11-10,82318.89,alice.davis@example.com,-5869886496,Good,True,DevOps,Florida,3,0.13415468856947296,2024,11,4
EMP1079,Grace,Brown,35.0,Admin-Florida,Inactive,2021-11-22,103286.08,grace.brown@example.com,-6776228276,Average,False,Admin,Florida,2,3.1019849418206706,2021,11,4
EMP1080,Grace,Davis,35.0,Cloud Tech-Florida,Active,2024-03-14,87759.33,grace.davis@example.com,-2881377027,Average,False,Cloud Tech,Florida,2,0.7939767282683093,2024,3,1
EMP1081,Frank,Brown,30.0,DevOps-Texas,Pending,2020-03-23,102796.32,frank.brown@example.com,-5196115939,Good,False,DevOps,Texas,3,4.769336071184121,2020,3,1
EMP1082,David,Jones,25.0,Sales-New York,Active,2020-09-15,83149.27,david.jones@example.com,-8215454469,Poor,True,Sales,New York,1,4.287474332648871,2020,9,3
EMP1083,David,Garcia,40.0,DevOps-California,Inactive,2020-12-09,92412.49,david.garcia@example.com,-2296044326,Excellent,True,DevOps,California,4,4.054757015742642,2020,12,4
EMP1084,Bob,Davis,30.0,HR-Texas,Pending,2020-02-22,115022.1,bob.davis@example.com,-185106793,Good,False,HR,Texas,3,4.851471594798084,2020,2,1
EMP1085,Grace,Williams,40.0,DevOps-New York,Active,2023-04-27,98343.01,grace.williams@example.com,-9756792286,Poor,False,DevOps,New York,1,1.675564681724846,2023,4,2
EMP1086,Bob,Miller,35.0,DevOps-Illinois,Active,2024-06-18,118869.1,bob.miller@example.com,-7725199662,Excellent,True,DevOps,Illinois,4,0.5311430527036276,2024,6,2
EMP1087,Frank,Smith,,Finance-Nevada,Inactive,2020-05-21,85417.26,frank.smith@example.com,-6580741208,Good,True,Finance,Nevada,3,4.607802874743326,2020,5,2
EMP1088,Grace,Brown,40.0,Cloud Tech-Florida,Inactive,2023-07-25,112410.25,grace.brown@example.com,-4818139889,Good,True,Cloud Tech,Florida,3,1.431895961670089,2023,7,3
EMP1089,Charlie,Johnson,40.0,Admin-Nevada,Pending,2023-08-25,68905.77,charlie.johnson@example.com,-9837801819,Average,False,Admin,Nevada,2,1.3470225872689938,2023,8,3
EMP1090,Heidi,Garcia,40.0,Finance-Nevada,Pending,2021-07-03,72561.32,heidi.garcia@example.com,-4339718955,Excellent,True,Finance,Nevada,4,3.490759753593429,2021,7,3
EMP1091,Bob,Brown,35.0,Finance-New York,Inactive,2023-03-13,92723.22,bob.brown@example.com,-9070562607,Excellent,True,Finance,New York,4,1.7987679671457906,2023,3,1
EMP1092,Alice,Johnson,40.0,HR-New York,Inactive,2021-03-10,74837.75,alice.johnson@example.com,-5641118241,Poor,False,HR,New York,1,3.805612594113621,2021,3,1
EMP1093,Eva,Miller,,DevOps-California,Pending,2020-01-21,86163.91,eva.miller@example.com,-2412462094,Average,True,DevOps,California,2,4.939082819986311,2020,1,1
EMP1094,David,Miller,40.0,Finance-Illinois,Active,2023-11-15,83326.52,david.miller@example.com,-2004615264,Average,True,Finance,Illinois,2,1.1225188227241616,2023,11,4
EMP1095,Heidi,Miller,25.0,Cloud Tech-California,Active,2022-04-08,98425.1,heidi.miller@example.com,-4610339936,Average,True,Cloud Tech,California,2,2.726899383983573,2022,4,2
EMP1096,Frank,Johnson,40.0,Sales-Illinois,Inactive,2022-05-21,119764.2,frank.johnson@example.com,-8861405785,Average,False,Sales,Illinois,2,2.6091718001368926,2022,5,2
EMP1097,Frank,Brown,40.0,HR-California,Inactive,2021-04-17,58445.91,frank.brown@example.com,-1706304890,Excellent,False,HR,California,4,3.701574264202601,2021,4,2
EMP1098,Bob,Miller,,DevOps-New York,Active,2021-03-19,101702.33,bob.miller@example.com,-3824967182,Excellent,False,DevOps,New York,4,3.780971937029432,2021,3,1
EMP1099,Eva,Jones,25.0,Admin-California,Active,2022-01-09,,eva.jones@example.com,-2582386869,Good,False,Admin,California,3,2.97056810403833,2022,1,1
EMP1100,Charlie,Davis,35.0,Cloud Tech-Texas,Pending,2021-08-21,98819.22,charlie.davis@example.com,-794200748,Good,False,Cloud Tech,Texas,3,3.356605065023956,2021,8,3
EMP1101,Heidi,Johnson,25.0,Cloud Tech-Illinois,Inactive,2022-08-19,83509.99,heidi.johnson@example.com,-4653984027,Average,False,Cloud Tech,Illinois,2,2.3627652292950034,2022,8,3
EMP1102,Alice,Johnson,35.0,Finance-Texas,Active,2022-03-31,84422.26,alice.johnson@example.com,-9141612845,Average,False,Finance,Texas,2,2.74880219028063,2022,3,1
EMP1103,Alice,Brown,30.0,Admin-Illinois,Inactive,2020-06-23,119574.27,alice.brown@example.com,-3985547434,Average,True,Admin,Illinois,2,4.517453798767967,2020,6,2
EMP1104,Grace,Johnson,,Sales-Illinois,Active,2024-05-07,86580.08,grace.johnson@example.com,-5379502096,Good,True,Sales,Illinois,3,0.6461327857631759,2024,5,2
EMP1105,Heidi,Johnson,35.0,Sales-Florida,Inactive,2023-03-10,93471.91,heidi.johnson@example.com,-26876810,Poor,False,Sales,Florida,1,1.8069815195071868,2023,3,1
EMP1106,Bob,Miller,30.0,DevOps-New York,Inactive,2023-09-14,55683.12,bob.miller@example.com,-8071569561,Poor,True,DevOps,New York,1,1.2922655715263518,2023,9,3
EMP1107,Bob,Brown,30.0,Cloud Tech-Florida,Inactive,2023-11-12,91566.78,bob.brown@example.com,-175370303,Good,True,Cloud Tech,Florida,3,1.1307323750855578,2023,11,4
EMP1108,David,Miller,35.0,DevOps-California,Pending,2024-10-26,81782.19,david.miller@example.com,-5319433749,Good,False,DevOps,California,3,0.17522245037645448,2024,10,4
EMP1109,Eva,Davis,,DevOps-New York,Inactive,2020-08-23,88119.37,eva.davis@example.com,-4793036148,Good,True,DevOps,New York,3,4.350444900752909,2020,8,3
EMP1110,Eva,Garcia,30.0,Cloud Tech-Texas,Active,2024-06-11,71532.83,eva.garcia@example.com,-8728399920,Good,True,Cloud Tech,Texas,3,0.5503080082135524,2024,6,2
EMP1111,Eva,Davis,40.0,Cloud Tech-Florida,Pending,2021-09-14,98981.36,eva.davis@example.com,-9212493842,Good,True,Cloud Tech,Florida,3,3.2908966461327855,2021,9,3
EMP1112,Heidi,Garcia,40.0,Cloud Tech-Illinois,Active,2024-12-26,80242.01,heidi.garcia@example.com,-894870604,Good,True,Cloud Tech,Illinois,3,0.008213552361396304,2024,12,4
EMP1113,Eva,Miller,25.0,Cloud Tech-New York,Pending,2024-09-08,110236.18,eva.miller@example.com,-6641877579,Average,True,Cloud Tech,New York,2,0.3066392881587953,2024,9,3
EMP1114,Alice,Davis,35.0,Sales-Texas,Active,2022-08-21,86327.47,alice.davis@example.com,-3046875062,Average,False,Sales,Texas,2,2.3572895277207393,2022,8,3
EMP1115,Eva,Brown,30.0,Sales-Florida,Pending,2024-07-25,84420.81,eva.brown@example.com,-5190361331,Average,False,Sales,Florida,2,0.42984257357973993,2024,7,3
EMP1116,Frank,Smith,40.0,HR-California,Pending,2020-08-02,110041.32,frank.smith@example.com,-5411076094,Average,False,HR,California,2,4.407939767282683,2020,8,3
EMP1117,Heidi,Miller,35.0,DevOps-Florida,Pending,2020-03-16,81837.81,heidi.miller@example.com,-4317350582,Good,True,DevOps,Florida,3,4.788501026694045,2020,3,1
EMP1118,Frank,Garcia,25.0,Finance-Illinois,Active,2023-09-08,110855.72,frank.garcia@example.com,-1997179109,Poor,False,Finance,Illinois,1,1.3086926762491444,2023,9,3
EMP1119,Alice,Jones,30.0,Sales-California,Pending,2024-03-29,84894.52,alice.jones@example.com,-651207048,Excellent,True,Sales,California,4,0.7529089664613279,2024,3,1
EMP1120,Alice,Garcia,30.0,HR-Illinois,Active,2021-08-12,80668.13,alice.garcia@example.com,-6110804660,Good,True,HR,Illinois,3,3.381245722108145,2021,8,3
EMP1121,Bob,Jones,25.0,DevOps-Illinois,Active,2023-12-24,61086.47,bob.jones@example.com,-9639907675,Excellent,True,DevOps,Illinois,4,1.0157426420260096,2023,12,4
EMP1122,Grace,Johnson,25.0,Admin-Texas,Inactive,2020-08-28,95339.68,grace.johnson@example.com,-9915078592,Poor,True,Admin,Texas,1,4.336755646817249,2020,8,3
EMP1123,Eva,Davis,,DevOps-California,Inactive,2024-09-05,83774.97,eva.davis@example.com,-1109193927,Average,False,DevOps,California,2,0.31485284052019163,2024,9,3
EMP1124,Heidi,Jones,,Admin-Florida,Active,2023-05-12,85576.86,heidi.jones@example.com,-4567972319,Poor,False,Admin,Florida,1,1.6344969199178645,2023,5,2
EMP1125,Bob,Garcia,35.0,Finance-California,Pending,2021-07-01,107438.46,bob.garcia@example.com,-249685497,Good,True,Finance,California,3,3.4962354551676933,2021,7,3
EMP1126,Eva,Johnson,,Sales-Nevada,Inactive,2024-11-07,60401.68,eva.johnson@example.com,-2274954507,Average,False,Sales,Nevada,2,0.14236824093086928,2024,11,4
EMP1127,Frank,Smith,35.0,Sales-Illinois,Inactive,2022-07-21,115299.66,frank.smith@example.com,-9203880652,Good,True,Sales,Illinois,3,2.4421629021218343,2022,7,3
EMP1128,David,Brown,,Finance-New York,Inactive,2020-03-30,72272.34,david.brown@example.com,-3315377958,Average,False,Finance,New York,2,4.7501711156741955,2020,3,1
EMP1129,Grace,Brown,40.0,DevOps-Nevada,Active,2022-10-11,117537.71,grace.brown@example.com,-9594652169,Excellent,False,DevOps,Nevada,4,2.217659137577002,2022,10,4
EMP1130,Frank,Brown,25.0,Finance-Texas,Pending,2022-07-24,51074.33,frank.brown@example.com,-7303379336,Excellent,True,Finance,Texas,4,2.433949349760438,2022,7,3
EMP1131,Charlie,Jones,25.0,Finance-California,Inactive,2023-06-30,98489.32,charlie.jones@example.com,-5636205014,Excellent,False,Finance,California,4,1.5003422313483916,2023,6,2
EMP1132,Frank,Smith,,Finance-California,Pending,2024-01-11,112120.71,frank.smith@example.com,-812473949,Poor,True,Finance,California,1,0.9664613278576317,2024,1,1
EMP1133,Alice,Jones,,Cloud Tech-New York,Pending,2023-11-02,114465.04,alice.jones@example.com,-334234257,Good,False,Cloud Tech,New York,3,1.158110882956879,2023,11,4
EMP1134,Bob,Davis,40.0,Cloud Tech-Nevada,Pending,2024-11-22,57035.51,bob.davis@example.com,-3230241025,Poor,True,Cloud Tech,Nevada,1,0.10130047912388775,2024,11,4
EMP1135,Eva,Jones,25.0,Cloud Tech-California,Active,2021-08-23,75092.43,eva.jones@example.com,-1534735527,Excellent,True,Cloud Tech,California,4,3.351129363449692,2021,8,3
EMP1136,David,Smith,,Finance-Illinois,Pending,2024-06-11,62603.98,david.smith@example.com,-9611223385,Good,False,Finance,Illinois,3,0.5503080082135524,2024,6,2
EMP1137,Grace,Smith,,DevOps-New York,Inactive,2023-04-09,60018.24,grace.smith@example.com,-5596309937,Excellent,False,DevOps,New York,4,1.7248459958932238,2023,4,2
EMP1138,Eva,Davis,40.0,HR-Nevada,Active,2024-07-05,82567.73,eva.davis@example.com,-4253042896,Poor,True,HR,Nevada,1,0.48459958932238195,2024,7,3
EMP1139,Charlie,Smith,25.0,Finance-California,Pending,2021-09-04,94725.71,charlie.smith@example.com,-3179128684,Poor,False,Finance,California,1,3.3182751540041067,2021,9,3
EMP1140,Eva,Garcia,40.0,HR-New York,Inactive,2024-10-13,83824.56,eva.garcia@example.com,-7872558776,Poor,False,HR,New York,1,0.2108145106091718,2024,10,4
EMP1141,Frank,Smith,,HR-Nevada,Inactive,2020-02-14,118456.11,frank.smith@example.com,-4969033372,Excellent,True,HR,Nevada,4,4.87337440109514,2020,2,1
EMP1142,Eva,Brown,25.0,Sales-Nevada,Pending,2020-04-10,113743.19,eva.brown@example.com,-6346692547,Good,True,Sales,Nevada,3,4.720054757015743,2020,4,2
EMP1143,Eva,Garcia,30.0,Sales-California,Active,2023-07-27,63309.24,eva.garcia@example.com,-1214785389,Good,False,Sales,California,3,1.4264202600958247,2023,7,3
EMP1144,Charlie,Garcia,25.0,DevOps-Nevada,Active,2021-09-24,105202.73,charlie.garcia@example.com,-7895677664,Excellent,True,DevOps,Nevada,4,3.263518138261465,2021,9,3
EMP1145,Frank,Davis,30.0,Cloud Tech-California,Inactive,2024-03-10,79085.22,frank.davis@example.com,-7546027340,Good,True,Cloud Tech,California,3,0.8049281314168378,2024,3,1
EMP1146,Frank,Williams,,Sales-California,Active,2021-06-10,113983.43,frank.williams@example.com,-5148881430,Excellent,True,Sales,California,4,3.5537303216974676,2021,6,2
EMP1147,Eva,Williams,35.0,Cloud Tech-Florida,Active,2020-10-15,102790.6,eva.williams@example.com,-1150835353,Good,False,Cloud Tech,Florida,3,4.205338809034908,2020,10,4
EMP1148,Grace,Smith,,HR-Texas,Inactive,2020-01-29,68512.1,grace.smith@example.com,-4439284043,Average,False,HR,Texas,2,4.917180013689254,2020,1,1
EMP1149,Frank,Garcia,35.0,Sales-Florida,Pending,2022-01-30,57584.23,frank.garcia@example.com,-5669078262,Average,True,Sales,Florida,2,2.9130732375085557,2022,1,1
EMP1150,Alice,Williams,,Sales-California,Pending,2021-03-29,95335.67,alice.williams@example.com,-3373898774,Poor,False,Sales,California,1,3.753593429158111,2021,3,1
EMP1151,Heidi,Williams,35.0,DevOps-Florida,Active,2020-10-13,53174.28,heidi.williams@example.com,-1536637779,Average,True,DevOps,Florida,2,4.210814510609172,2020,10,4
EMP1152,Heidi,Smith,25.0,Cloud Tech-New York,Pending,2020-10-04,77205.21,heidi.smith@example.com,-5292407552,Average,False,Cloud Tech,New York,2,4.2354551676933605,2020,10,4
